06452,09614,미소녀 신기루의 통, = ,06448, ,수통, ( ? 개 ), + ,06452, ,분홍색 모래, ( ? 개 ), + ,06525, ,마법회로 석판, ( ? 개 ),,,,,,,,,,,,,,,
06453,09615,미소년 신기루의 통, = ,06525, ,마법회로 석판, ( ? 개 ), + ,06448, ,수통, ( ? 개 ), + ,06453, ,하늘색 모래, ( ? 개 ),,,,,,,,,,,,,,,
06454,18508,, = ,12386, ,여우 꼬리, ( ? 개 ), + ,15408, ,순결한 팬티, ( ? 개 ), + ,15381, ,배배꼬인 덩굴, ( ? 개 ),,,,,,,,,,,,,,,
06455,15589,라이온 크로우, = ,09418, ,날카로운 사자 발톱, ( ? 개 ), + ,09493, ,장착 강철 손톱, ( ? 개 ), + ,09513, ,강철 껍질, ( ? 개 ),,,,,,,,,,,,,,,
06456,15590,플로랄 퍼퓸, = ,12419, ,민들레 향수, ( ? 개 ), + ,12420, ,코스모스 향수, ( ? 개 ), + ,12421, ,장미 향수, ( ? 개 ),,,,,,,,,,,,,,,
06457,06578,머드 아머, = ,03456, ,이암, ( ? 개 ), + ,00278, ,수액, ( ? 개 ), + ,03466, ,갈대, ( ? 개 ),,,,,,,,,,,,,,,
06458,12551,호두까기 인형, = ,09001, ,오래된 장난감, ( ? 개 ), + ,03471, ,에인션트 베어링, ( ? 개 ), + ,06521, ,호두, ( ? 개 ),,,,,,,,,,,,,,,
06459, [ 06579 ] ,아머 매터리얼, = ,03301, ,철괴, ( 3 개 ), + ,06531, ,십자형 접지파츠, ( 1 개 ), + ,03161, ,낡은 갑옷, ( 3 개 ),,,,,,,,,,,,,,,
06460,09616,스피어 매터리얼, = ,06340, ,철파이프, ( ? 개 ), + ,00288, ,녹슬은 칼날, ( ? 개 ), + ,03475, ,바인딩 파츠, ( ? 개 ),,,,,,,,,,,,,,,
06461,18509,, = ,18502, ,솔리들 - 솔의 마법서, ( ? 개 ), + ,15157, ,룬의 마법서, ( ? 개 ), + ,15114, ,불타는 마음, ( ? 개 ),,,,,,,,,,,,,,,
06462,18510,, = ,18503, ,포톤 칼날, ( ? 개 ), + ,15379, ,무딘 대검, ( ? 개 ), + ,15264, ,마그네틱 펄서, ( ? 개 ),,,,,,,,,,,,,,,
06463,18511,, = ,18504, ,럭셔리 에센스, ( ? 개 ), + ,15063, ,리빙 룬, ( ? 개 ), + ,15250, ,카이져 엠블렘, ( ? 개 ),,,,,,,,,,,,,,,
06464,18512,, = ,15571, ,스타 크리스탈, ( ? 개 ), + ,15572, ,글리프 오브 스타, ( ? 개 ), + ,15202, ,크리스탈 스컬, ( ? 개 ),,,,,,,,,,,,,,,
06465,12552,실리콘 아머, = ,06579, ,아머 매터리얼, ( ? 개 ), + ,09537, ,실리콘 덩어리, ( ? 개 ), + ,12249, ,로얄 젤리, ( ? 개 ),,,,,,,,,,,,,,,
06466,06580,실드 매터리얼, = ,03301, ,철괴, ( ? 개 ), + ,03355, ,굵은 나뭇가지, ( ? 개 ), + ,00247, ,못, ( ? 개 ),,,,,,,,,,,,,,,
06467,12553,하이 아머 매터리얼, = ,06579, ,아머 매터리얼, ( ? 개 ), + ,06332, ,니켈괴, ( ? 개 ), + ,09215, ,오리할콘 덩어리, ( ? 개 ),,,,,,,,,,,,,,,
06468,12554,블러디 실드, = ,06580, ,실드 매터리얼, ( ? 개 ), + ,09348, ,블러드 메탈, ( ? 개 ), + ,06356, ,단풍나무 목재, ( ? 개 ),,,,,,,,,,,,,,,
06469,15591,, = ,12550, ,타워 실드 매터리얼, ( ? 개 ), + ,06509, ,탄력의 구슬, ( ? 개 ), + ,06334, ,고무액, ( ? 개 ),,,,,,,,,,,,,,,
06470,09617,형광등, = ,03459, ,섬광석, ( ? 개 ), + ,06506, ,엘레늄 괴, ( ? 개 ), + ,06555, ,유리, ( ? 개 ),,,,,,,,,,,,,,,
06471,18513,미스틱 골드 파츠, = ,15244, ,구 시대의 장난감 (금), ( ? 개 ), + ,09406, ,공구 상자, ( ? 개 ), + ,15396, ,수수께끼의 기계부품, ( ? 개 ),,,,,,,,,,,,,,,
06472, [ 18514 ] ,미스틱 플래티넘 파츠, = ,15246, ,구 시대의 장난감 (백금), ( 2 개 ), + ,15278, ,스피리츄얼 툴, ( 1 개 ), + ,15396, ,수수께끼의 기계부품, ( 1 개 ),,,,,,,,,,,,,,,
06473,12564,사시미 칼, = ,03146, ,식칼, ( ? 개 ), + ,12390, ,칼날 지느러미, ( ? 개 ), + ,06380, ,그라인더, ( ? 개 ),,,,,,,,,,,,,,,
06474,06581,가죽옷 매터리얼, = ,03146, ,식칼, ( ? 개 ), + ,03351, ,강제혼합 보조제, ( ? 개 ), + ,00064, ,좀비 가죽, ( ? 개 ),,,,,,,,,,,,,,,
06475, [ 6582 ] ,모순 퍼즐, = ,00271, ,뒤틀린 퍼즐 조각, ( 3 개 ), + ,00272, ,반전된 퍼즐 조각, ( 3 개 ), + ,00273, ,존재할 수 없는 퍼즐 조각, ( 3 개 ),,,,,,,,,,,,,,,
06476,12565,스틸 아머, = ,06579, ,아머 매터리얼, ( ? 개 ), + ,03457, ,접착괴, ( ? 개 ), + ,09329, ,강철괴, ( ? 개 ),,,,,,,,,,,,,,,
06477,12566,팅클 라이트의 주문서, = ,06568, ,캔트립 마술서, ( ? 개 ), + ,06562, ,별빛통, ( ? 개 ), + ,09428, ,별의 결정, ( ? 개 ),,,,,,,,,,,,,,,
06478,15592,블랙 스타 슈터의 주문서, = ,12566, ,팅클 라이트의 주문서, ( ? 개 ), + ,09598, ,별자리사전, ( ? 개 ), + ,06280, ,블랙 스타, ( ? 개 ),,,,,,,,,,,,,,,
06479,18515,, = ,12312, ,투시안경, ( ? 개 ), + ,15542, ,비전 렌즈, ( ? 개 ), + ,15393, ,망상자의 안경, ( ? 개 ),,,,,,,,,,,,,,,
06480,18516,, = ,15477, ,언리얼리티 게이트, ( ? 개 ), + ,12483, ,굴절의 구슬, ( ? 개 ), + ,09587, ,리버스 모터, ( ? 개 ),,,,,,,,,,,,,,,
06481,12659,비비드 네클리스, = ,06561, ,지점토, ( ? 개 ), + ,06610, ,알록달록 덩어리, ( ? 개 ), + ,09621, ,쪼개진 목걸이, ( ? 개 ),,,,,,,,,,,,,,,
06482,09696,, = ,03473, ,버려진 헝겊인형, ( ? 개 ), + ,03413, ,피주머니, ( ? 개 ), + ,06036, ,저주받은 무언가, ( ? 개 ),,,,,,,,,,,,,,,
06483,09697,타이어 월, = ,03395, ,폐타이어, ( ? 개 ), + ,03517, ,질긴 덩쿨, ( ? 개 ), + ,06621, ,오래된 붕대, ( ? 개 ),,,,,,,,,,,,,,,
06484,,, = ,12647, ,미백 티셔츠, ( ? 개 ), + ,06374, ,원형질 융해제, ( ? 개 ), + ,09641, ,해바라기, ( ? 개 ),,,,,,,,,,,,,,,
06485,,, = ,12647, ,미백 티셔츠, ( ? 개 ), + ,06374, ,원형질 융해제, ( ? 개 ), + ,09642, ,라벤더, ( ? 개 ),,,,,,,,,,,,,,,
06486,09698,성스러운 날개깃옷, = ,06642, ,금빛 날개깃옷, ( ? 개 ), + ,06569, ,강섬광석, ( ? 개 ), + ,06199, ,홀리 엠블렘, ( ? 개 ),,,,,,,,,,,,,,,
06487,09699,다크 소드, = ,06549, ,다크 엣지, ( ? 개 ), + ,06347, ,일반 칼손잡이, ( ? 개 ), + ,03522, ,다크 시드, ( ? 개 ),,,,,,,,,,,,,,,
06488,,, = ,09658, ,진주 조각, ( ? 개 ), + ,06600, ,알로에 엑기스, ( ? 개 ), + ,09148, ,강력 염산, ( ? 개 ),,,,,,,,,,,,,,,
06489,15697,, = ,09284, ,악귀의 검은손톱, ( ? 개 ), + ,12617, ,흡혈송곳니, ( ? 개 ), + ,12542, ,칼날 건틀렛, ( ? 개 ),,,,,,,,,,,,,,,
06490,15698,, = ,12614, ,강인한 근육, ( ? 개 ), + ,12534, ,기능성 뽕브라, ( ? 개 ), + ,09676, ,매직링크 싱글 케이블, ( ? 개 ),,,,,,,,,,,,,,,
06491,15699,어깨의 어깨 판넬, = ,12154, ,어깨의 어깨, ( ? 개 ), + ,15652, ,사이킥 브레인, ( ? 개 ), + ,09360, ,매지컬 철판, ( ? 개 ),,,,,,,,,,,,,,,
06492,09700,, = ,03526, ,바람의 가루, ( ? 개 ), + ,06506, ,엘레늄 괴, ( ? 개 ), + ,03525, ,물의 가루, ( ? 개 ),,,,,,,,,,,,,,,
06493,12663,적광의 랜턴, = ,09656, ,붉은 결정 가루, ( ? 개 ), + ,03521, ,라이트 시드, ( ? 개 ), + ,06583, ,백광의 랜턴, ( ? 개 ),,,,,,,,,,,,,,,
06494,12664,청광의 랜턴, = ,09657, ,푸른 결정 가루, ( ? 개 ), + ,03521, ,라이트 시드, ( ? 개 ), + ,06583, ,백광의 랜턴, ( ? 개 ),,,,,,,,,,,,,,,
06495,09701,풍요의 토양, = ,03527, ,땅의 가루, ( ? 개 ), + ,03536, ,정령의 토양, ( ? 개 ), + ,03264, ,토사물 덩어리, ( ? 개 ),,,,,,,,,,,,,,,
06496,12665,블랙 블레이드, = ,09699, ,다크소드, ( ? 개 ), + ,09678, ,어둠의 가루, ( ? 개 ), + ,12199, ,다크니스 스톤, ( ? 개 ),,,,,,,,,,,,,,,
06497,,, = ,15673, ,자주색 원반 조각 1, ( ? 개 ), + ,15674, ,자주색 원반 조각 2, ( ? 개 ), + ,15675, ,자주색 원반 조각 3, ( ? 개 ),,,,,,,,,,,,,,,
06498,21235,굉염령검 파에리피에르, = ,18604, ,순령검 퓨트리피에르, ( 1 개 ), + ,18605, ,굉염의 혼, ( 1 개 ), + ,18596, ,화정석, ( 3 개 ),,,,,,,,,,,,,,,
06499,21236,, = ,18604, ,순령검 퓨트리피에르, ( ? 개 ), + ,18606, ,절빙의 혼, ( ? 개 ), + ,18597, ,수정석, ( ? 개 ),,,,,,,,,,,,,,,
06500,21237,, = ,18604, ,순령검 퓨트리피에르, ( ? 개 ), + ,18607, ,격뢰의 혼, ( ? 개 ), + ,18598, ,풍정석, ( ? 개 ),,,,,,,,,,,,,,,
06501,21238,, = ,18604, ,순령검 퓨트리피에르, ( ? 개 ), + ,18608, ,진결의 혼, ( ? 개 ), + ,18599, ,지정석, ( ? 개 ),,,,,,,,,,,,,,,
06502,06631,, = ,03338, ,옵시디안, ( ? 개 ), + ,00153, ,부러진 화살, ( ? 개 ), + ,03517, ,질긴 덩쿨, ( ? 개 ),,,,,,,,,,,,,,,
06503,03545,저열한 빛옷, = ,00276, ,빛의 날개조각, ( ? 개 ), + ,00249, ,은박지, ( ? 개 ), + ,00164, ,이빠진 엔젤 하이로우, ( ? 개 ),,,,,,,,,,,,,,,
06504,12662,, = ,09649, ,날카로운 닭부리, ( ? 개 ), + ,06611, ,조잡한 도끼, ( ? 개 ), + ,06628, ,"엑스 트위스티드 파츠, 172번", ( ? 개 ),,,,,,,,,,,,,,,
06505,09702,엘리멘트 링, = ,03543, ,엘리멘탈 시드, ( ? 개 ), + ,06330, ,은괴, ( ? 개 ), + ,06362, ,고무망치, ( ? 개 ),,,,,,,,,,,,,,,
06506,09703,다크 엘리멘트 링, = ,03544, ,다크 엘리멘탈 시드, ( ? 개 ), + ,06331, ,아연괴, ( ? 개 ), + ,06362, ,고무망치, ( ? 개 ),,,,,,,,,,,,,,,
06507,09704,, = ,06085, ,상습 지각 증명서, ( ? 개 ), + ,06106, ,면접자 명단, ( ? 개 ), + ,06568, ,캔트립 마술서, ( ? 개 ),,,,,,,,,,,,,,,
06508,09705,화염저주석, = ,06571, ,소 핫 젬스톤, ( ? 개 ), + ,03524, ,불의 가루, ( ? 개 ), + ,06036, ,저주받은 무언가, ( ? 개 ),,,,,,,,,,,,,,,
06509,09706,, = ,06572, ,소 콜드 젬스톤, ( ? 개 ), + ,03525, ,물의 가루, ( ? 개 ), + ,06036, ,저주받은 무언가, ( ? 개 ),,,,,,,,,,,,,,,
06510,09707,, = ,06597, ,호랑이 가죽, ( ? 개 ), + ,06581, ,가죽옷 매터리얼, ( ? 개 ), + ,03517, ,질긴 덩쿨, ( ? 개 ),,,,,,,,,,,,,,,
06511,21101,, = ,18551, ,타임 키 넥클리스, ( ? 개 ), + ,18355, ,"시간 여행자 ""미레이라 틸렌타"" ", ( ? 개 ), + ,18298, ,po골렘wer 레어, ( ? 개 ),,,,,,,,,,,,,,,
06512,12667,백안의 안경, = ,09693, ,렌즈, ( ? 개 ), + ,09656, ,붉은 결정 가루, ( ? 개 ), + ,03364, ,망원안경, ( ? 개 ),,,,,,,,,,,,,,,
06513,12666,청안의 안경, = ,09693, ,렌즈, ( ? 개 ), + ,09657, ,푸른 결정 가루, ( ? 개 ), + ,03364, ,망원안경, ( ? 개 ),,,,,,,,,,,,,,,
06514, [ 9695 ] ,독가루 떡밥, = ,06457, ,독가루 주머니, ( 2개 ), + ,09675, ,좌표연산 칩, ( 1 개 ), + ,06465, ,인간용 떡밥, ( 1 개 ),,,,,,,,,,,,,,,
06515,15695,화이트 호크 픽, = ,12456, ,하얀 부리, ( ? 개 ), + ,03518, ,몽둥이, ( ? 개 ), + ,12352, ,가시달린 가죽, ( ? 개 ),,,,,,,,,,,,,,,
06516,12669,하이 엘리멘트 링, = ,09702, ,엘리멘트 링, ( ? 개 ), + ,09312, ,엘리멘트 메탈, ( ? 개 ), + ,09428, ,별의 결정, ( ? 개 ),,,,,,,,,,,,,,,
06517,12670,하이 블랙 엘리멘트 링, = ,09703, ,다크 엘리멘트 링, ( ? 개 ), + ,09312, ,엘리멘트 메탈, ( ? 개 ), + ,09518, ,모순된 자의 피, ( ? 개 ),,,,,,,,,,,,,,,
06518,06642,금빛 날개깃옷, = ,03545, ,저열한 빛옷, ( ? 개 ), + ,03314, ,하얀 로브, ( ? 개 ), + ,03491, ,저질 사금, ( ? 개 ),,,,,,,,,,,,,,,
06519,18468,시단의 가위, = ,15459, ,시류의 결정체, ( ? 개 ), + ,15653, ,이차원의 결정, ( ? 개 ), + ,15382, ,거대 가위, ( ? 개 ),,,,,,,,,,,,,,,
06520,18469,마그마 슈터, = ,15680, ,마그마 스톤, ( ? 개 ), + ,15318, ,디토네이팅 젬, ( ? 개 ), + ,09504, ,압축폭발 촉매제, ( ? 개 ),,,,,,,,,,,,,,,
06521,12671,, = ,09569, ,토우 병사, ( ? 개 ), + ,06615, ,탁한 피, ( ? 개 ), + ,09272, ,덩뭍은 개가죽, ( ? 개 ),,,,,,,,,,,,,,,
06522,15696,호버 바이크, = ,12612, ,부유 덩어리, ( ? 개 ), + ,12321, ,부서진 바이크, ( ? 개 ), + ,12326, ,과학 에센스, ( ? 개 ),,,,,,,,,,,,,,,
06523,,, = ,09667, ,비어있는 정령의 씨앗, ( ? 개 ), + ,03536, ,정령의 토양, ( ? 개 ), + ,12636, ,정령력의 덩어리, ( ? 개 ),,,,,,,,,,,,,,,
06524,,, = ,15624, ,라이트닝 웨이브 캐논, ( ? 개 ), + ,15671, ,전광의 정령 마잔토 레어, ( ? 개 ), + ,15492, ,오메가 도로셀, ( ? 개 ),,,,,,,,,,,,,,,
06525,18584,대호골패, = ,15664, ,포식자의 심장, ( ? 개 ), + ,15364, ,용서받지 못한 자의 족쇄, ( ? 개 ), + ,15317, ,종유석의 핵, ( ? 개 ),,,,,,,,,,,,,,,
06526,,, = ,15615, ,모래바람의 반지, ( ? 개 ), + ,15356, ,사막, ( ? 개 ), + ,12394, ,치명적인 모래, ( ? 개 ),,,,,,,,,,,,,,,
06527,18619,세이렌 보이스, = ,18612, ,세이렌의 눈, ( ? 개 ), + ,15648, ,스크림 젬, ( ? 개 ), + ,12634, ,소음 에센스, ( ? 개 ),,,,,,,,,,,,,,,
06528,15704,, = ,06566, ,수정 화석, ( ? 개 ), + ,12639, ,크리스탈 그라인더, ( ? 개 ), + ,09498, ,망상의 결정, ( ? 개 ),,,,,,,,,,,,,,,
06529,18620,, = ,15642, ,글리프 오브 스톰, ( ? 개 ), + ,15649, ,멸생석, ( ? 개 ), + ,15669, ,휘몰아치는 정수, ( ? 개 ),,,,,,,,,,,,,,,
06530,18621,재생자의 영기, = ,15665, ,수호자의 영혼, ( ? 개 ), + ,15663, ,재생자의 심장, ( ? 개 ), + ,15244, ,구 시대의 장난감 (금), ( ? 개 ),,,,,,,,,,,,,,,
06531,18622,블링크 오브, = ,15645, ,블링크 아이, ( ? 개 ), + ,15463, ,플로우웜의 눈, ( ? 개 ), + ,15468, ,단죄의 망치, ( ? 개 ),,,,,,,,,,,,,,,
06532,15728,, = ,09659, ,질병의 붕대, ( ? 개 ), + ,15646, ,마비액, ( ? 개 ), + ,09489, ,검은 독주머니, ( ? 개 ),,,,,,,,,,,,,,,
06533,18623,, = ,15647, ,희생자의 혼, ( ? 개 ), + ,15648, ,스크림 젬, ( ? 개 ), + ,15649, ,멸생석, ( ? 개 ),,,,,,,,,,,,,,,
06534,21106,, = ,18609, ,환혹의 정령 필라메이르 레어, ( ? 개 ), + ,18507, ,점핑 큐브, ( ? 개 ), + ,18347, ,타임 에센스, ( ? 개 ),,,,,,,,,,,,,,,
06535,18624,순백의 망토, = ,15467, ,순백의 모피, ( ? 개 ), + ,15470, ,정신암, ( ? 개 ), + ,15382, ,거대 가위, ( ? 개 ),,,,,,,,,,,,,,,
06536,18625,, = ,15482, ,페이즈 드래곤, ( ? 개 ), + ,15575, ,실버 월드 2등, ( ? 개 ), + ,15644, ,용귀각, ( ? 개 ),,,,,,,,,,,,,,,
06537,18626,무중력 쟁반, = ,15399, ,개조 쟁반, ( ? 개 ), + ,12348, ,소형 반중력 엔진, ( ? 개 ), + ,18307, ,무중력 비상 장치, ( ? 개 ),,,,,,,,,,,,,,,
06538,00021,, = ,18172, ,빔펄스 제너레이터, ( ? 개 ), + ,18247, ,데솔레이트 젬, ( ? 개 ), + ,15352, ,황폐의 가루, ( ? 개 ),,,,,,,,,,,,,,,
06539,00021,, = ,18482, ,12103번 레시피, ( ? 개 ), + ,18599, ,지정석, ( ? 개 ), + ,18285, ,베놈 뮤탄트 스켈레톤 레어, ( ? 개 ),,,,,,,,,,,,,,,
06540,24006,아르케 게이트의 마법서, = ,21234, ,아르케 스크롤, ( ? 개 ), + ,21207, ,12136번 레시피, ( ? 개 ), + ,21051, ,9232번 레시피, ( ? 개 ),,,,,,,,,,,,,,,
06541,18655,폭염룡검, = ,15268, ,화보옥, ( ? 개 ), + ,15033, ,염룡검, ( ? 개 ), + ,15073, ,헬스톤, ( ? 개 ),,,,,,,,,,,,,,,
06542,03596,부혈독, = ,00295, ,, ( ? 개 ), + ,00269, ,부패 찌꺼기, ( ? 개 ), + ,00297, ,노란 가루, ( ? 개 ),,,,,,,,,,,,,,,
06543,06704,, = ,03562, ,산호 조각, ( ? 개 ), + ,03343, ,쿤자이트, ( ? 개 ), + ,00197, ,생선뼈, ( ? 개 ),,,,,,,,,,,,,,,
06544,09761,, = ,06648, ,, ( ? 개 ), + ,03413, ,피주머니, ( ? 개 ), + ,06593, ,휴대용 포도탄 발사기, ( ? 개 ),,,,,,,,,,,,,,,
06545,09762,, = ,06646, ,흉악한 손톱, ( ? 개 ), + ,03554, ,, ( ? 개 ), + ,03532, ,녹슨 체인, ( ? 개 ),,,,,,,,,,,,,,,
06546,09763,트윈 스피어, = ,06690, ,매끈한 창날, ( ? 개 ), + ,06354, ,떡갈나무 목재, ( ? 개 ), + ,03517, ,질긴 덩쿨, ( ? 개 ),,,,,,,,,,,,,,,
06547,09764,아이스 블레이드, = ,06429, ,얼음 칼날, ( ? 개 ), + ,00053, ,손때묻은 칼손잡이, ( ? 개 ), + ,06380, ,그라인더, ( ? 개 ),,,,,,,,,,,,,,,
06548,18656,, = ,15755, ,던 오브, ( ? 개 ), + ,15756, ,이클립스 오브, ( ? 개 ), + ,15757, ,트와일라잇 오브, ( ? 개 ),,,,,,,,,,,,,,,
06549,12730,켈빈 블레이드, = ,09764, ,아이스 블레이드, ( ? 개 ), + ,09445, ,마법의 얼음결정, ( ? 개 ), + ,09612, ,프로폴리사늄 괴, ( ? 개 ),,,,,,,,,,,,,,,
06550,12731,, = ,09725, ,, ( ? 개 ), + ,09726, ,괴이한 가죽, ( ? 개 ), + ,06581, ,가죽옷 매터리얼, ( ? 개 ),,,,,,,,,,,,,,,
06551,06705,, = ,03580, ,커다란 석재, ( ? 개 ), + ,03457, ,접착괴, ( ? 개 ), + ,03418, ,종유석 조각, ( ? 개 ),,,,,,,,,,,,,,,
06552,09765,, = ,06674, ,댄스 디스크, ( ? 개 ), + ,06568, ,캔트립 마술서, ( ? 개 ), + ,03497, ,사운드 볼, ( ? 개 ),,,,,,,,,,,,,,,
06553,15778,, = ,12698, ,, ( ? 개 ), + ,12696, ,, ( ? 개 ), + ,12618, ,다크 블러드, ( ? 개 ),,,,,,,,,,,,,,,
06554,18657,, = ,15753, ,자가분열 AI코어, ( ? 개 ), + ,15769, ,트랜스폼 블록, ( ? 개 ), + ,15770, ,지혜와 지식의 바늘, ( ? 개 ),,,,,,,,,,,,,,,
06555,15779,, = ,12685, ,, ( ? 개 ), + ,12691, ,, ( ? 개 ), + ,09557, ,송이버섯, ( ? 개 ),,,,,,,,,,,,,,,
06556,15780,, = ,12684, ,날카로운 검은 이빨, ( ? 개 ), + ,12699, ,, ( ? 개 ), + ,12695, ,, ( ? 개 ),,,,,,,,,,,,,,,
06557,15781,, = ,12703, ,기계 꾸러미, ( ? 개 ), + ,12707, ,앤티크 토이박스, ( ? 개 ), + ,09669, ,불타는 흐물덩어리, ( ? 개 ),,,,,,,,,,,,,,,
06558,15782,, = ,12703, ,기계 꾸러미, ( ? 개 ), + ,12707, ,앤티크 토이박스, ( ? 개 ), + ,09670, ,흐물거리는 덩어리, ( ? 개 ),,,,,,,,,,,,,,,
06559,15783,, = ,12703, ,기계 꾸러미, ( ? 개 ), + ,12707, ,앤티크 토이박스, ( ? 개 ), + ,09671, ,찌릿거리는 흐물덩어리, ( ? 개 ),,,,,,,,,,,,,,,
06560,15784,, = ,12703, ,기계 꾸러미, ( ? 개 ), + ,12707, ,앤티크 토이박스, ( ? 개 ), + ,09672, ,굳어가는 흐물덩어리, ( ? 개 ),,,,,,,,,,,,,,,
06561,09766,, = ,06445, ,하이에나 넓적다리 고기, ( ? 개 ), + ,03377, ,소금, ( ? 개 ), + ,03367, ,핫고추, ( ? 개 ),,,,,,,,,,,,,,,
06562,06706,, = ,03559, ,부서진 머리장식, ( ? 개 ), + ,03561, ,삼색 구슬, ( ? 개 ), + ,03579, ,쓰레기 보석, ( ? 개 ),,,,,,,,,,,,,,,
06563,06707,에테리얼 포션, = ,03546, ,에테리얼 조각, ( ? 개 ), + ,03555, ,빈 독양병, ( ? 개 ), + ,03581, ,돌연변이꽃, ( ? 개 ),,,,,,,,,,,,,,,
06564,15785,, = ,12613, ,날카로운 덩굴, ( ? 개 ), + ,12388, ,푸른 전갈독, ( ? 개 ), + ,09734, ,, ( ? 개 ),,,,,,,,,,,,,,,
06565,06708,반 영체 조끼, = ,03549, ,반 영체 비늘, ( ? 개 ), + ,03519, ,진주 파편, ( ? 개 ), + ,03445, ,빛나는 날개막, ( ? 개 ),,,,,,,,,,,,,,,
06566,06709,, = ,03479, ,괴악한 오르골, ( ? 개 ), + ,03569, ,뱅글마이트, ( ? 개 ), + ,03537, ,환각의 가루, ( ? 개 ),,,,,,,,,,,,,,,
06567,21261,, = ,18635, ,, ( ? 개 ), + ,18337, ,성궤, ( ? 개 ), + ,18064, ,퓨어 젬스톤, ( ? 개 ),,,,,,,,,,,,,,,
06568,06710,, = ,03557, ,징그러운 벌레조각, ( ? 개 ), + ,00286, ,떫은 과일, ( ? 개 ), + ,00238, ,고추, ( ? 개 ),,,,,,,,,,,,,,,
06569,06711,, = ,03553, ,잡동사니 주머니, ( ? 개 ), + ,03551, ,밤의 파편, ( ? 개 ), + ,03552, ,, ( ? 개 ),,,,,,,,,,,,,,,
06570,09767,, = ,06694, ,3539번 레시피, ( ? 개 ), + ,06330, ,은괴, ( ? 개 ), + ,03458, ,칼사이트, ( ? 개 ),,,,,,,,,,,,,,,
06571,15786,, = ,12715, ,잃어버린 날개깃, ( ? 개 ), + ,12620, ,라이트 스톤, ( ? 개 ), + ,09160, ,홀리 코팅 연고, ( ? 개 ),,,,,,,,,,,,,,,
06572,15787,, = ,09616, ,스피어 매터리얼, ( ? 개 ), + ,12700, ,, ( ? 개 ), + ,12704, ,, ( ? 개 ),,,,,,,,,,,,,,,
06573,12732,, = ,09727, ,고급 동물 가죽, ( ? 개 ), + ,09728, ,, ( ? 개 ), + ,03111, ,검은 개털, ( ? 개 ),,,,,,,,,,,,,,,
06574,09768,붉은꽃의 영석, = ,03570, ,빨간색 조약돌, ( ? 개 ), + ,06396, ,진홍 꽃잎, ( ? 개 ), + ,03433, ,꽃가루 주머니, ( ? 개 ),,,,,,,,,,,,,,,
06575,09769,, = ,03433, ,꽃가루 주머니, ( ? 개 ), + ,03571, ,파란색 조약돌, ( ? 개 ), + ,06591, ,푸른 얼음, ( ? 개 ),,,,,,,,,,,,,,,
06576,09770,, = ,06518, ,민들레, ( ? 개 ), + ,03433, ,꽃가루 주머니, ( ? 개 ), + ,03572, ,노란색 조약돌, ( ? 개 ),,,,,,,,,,,,,,,
06577,09771,녹색꽃의 영석, = ,03573, ,녹색 조약돌, ( ? 개 ), + ,03433, ,꽃가루 주머니, ( ? 개 ), + ,06504, ,공록석, ( ? 개 ),,,,,,,,,,,,,,,
06578,09772,, = ,06242, ,아스트랄 원액, ( ? 개 ), + ,03574, ,보라색 조약돌, ( ? 개 ), + ,03433, ,꽃가루 주머니, ( ? 개 ),,,,,,,,,,,,,,,
06579,15788,, = ,12701, ,붉은 줄무늬 가죽, ( ? 개 ), + ,12646, ,두꺼운명주실1단, ( ? 개 ), + ,03242, ,가위, ( ? 개 ),,,,,,,,,,,,,,,
06580,06712,망상의 석상, = ,03408, ,오래된 석상, ( ? 개 ), + ,03432, ,망상의 파편, ( ? 개 ), + ,00306, ,보석 찌끄레기, ( ? 개 ),,,,,,,,,,,,,,,
06581,09773,, = ,06712, ,망상의 석상, ( ? 개 ), + ,06673, ,미스트 스톤 파편, ( ? 개 ), + ,06670, ,방전된 룬스톤, ( 2 개 ),,,,,,,,,,,,,,,
06582,12733,, = ,09750, ,매우 무거운 하프, ( ? 개 ), + ,06668, ,충정석, ( ? 개 ), + ,09679, ,트위스티드 트위스티드 파츠, ( ? 개 ),,,,,,,,,,,,,,,
06583,09774,, = ,06671, ,팔각결정 설탕, ( ? 개 ), + ,06645, ,악몽의 씨앗, ( ? 개 ), + ,06600, ,알로에 엑기스, ( ? 개 ),,,,,,,,,,,,,,,
06584,09775,노란 고블린 귀 허리띠, = ,06652, ,노란 고블린 귀, ( ? 개 ), + ,06653, ,오크 전통 장신구, ( ? 개 ), + ,06348, ,명주실, ( ? 개 ),,,,,,,,,,,,,,,
06585,12734,, = ,06678, ,패독의 가시줄기, ( ? 개 ), + ,09489, ,검은 독주머니, ( ? 개 ), + ,09104, ,인조 손, ( ? 개 ),,,,,,,,,,,,,,,
06586,12735,, = ,09754, ,3545번 레시피, ( ? 개 ), + ,09701, ,풍요의 토양, ( ? 개 ), + ,09463, ,페어리 파우더, ( ? 개 ),,,,,,,,,,,,,,,
06587,18658,, = ,15743, ,크레이지 우즈 레어, ( ? 개 ), + ,15605, ,영혼조종의 피리, ( ? 개 ), + ,12710, ,정신융합코일, ( ? 개 ),,,,,,,,,,,,,,,
06588,12736,, = ,09366, ,퀵 휩, ( ? 개 ), + ,09378, ,쿵따닥 껍질, ( ? 개 ), + ,09734, ,, ( ? 개 ),,,,,,,,,,,,,,,
